Date,Click Booking,Search Web,Visit Detail,Visit List,Homepage
2019-11-27 ,393,8699,24001,30949,0
2019-11-28 ,417,8559,24528,31394,0
2019-11-29 ,388,8147,22975,30009,0
2019-11-30 ,396,7531,21430,27787,0
2019-12-01 ,377,7960,22687,28758,0
2019-12-02 ,423,9242,26231,33104,0
2019-12-03 ,426,8817,25488,31540,0
2019-12-04 ,373,8339,23725,30255,0
2019-12-05 ,337,8122,22918,29045,0
2019-12-06 ,371,7621,21487,28709,0
2019-12-07 ,339,7123,19477,25886,0
2019-12-08 ,302,7773,21336,28156,0
2019-12-09 ,395,8446,22952,30370,0
2019-12-10 ,329,8444,23255,30564,0
2019-12-11 ,388,7825,22103,28958,0
2019-12-12 ,295,7788,21439,29328,0
2019-12-13 ,351,7635,20754,27961,0
2019-12-14 ,364,7139,19987,26368,0
2019-12-15 ,318,7207,20246,26830,0
2019-12-16 ,366,8308,22544,29809,0
2019-12-17 ,359,8071,22078,30418,0
2019-12-18 ,335,8281,22642,30193,0
2019-12-19 ,337,8023,21937,29903,0
2019-12-20 ,316,7754,21403,29874,0
2019-12-21 ,325,7049,20453,27234,0
2019-12-22 ,360,7183,20543,27557,0
2019-12-23 ,383,7780,22038,29765,0
2019-12-24 ,376,7110,20525,27887,0
2019-12-25 ,397,7005,20646,28215,0
2019-12-26 ,381,8196,23400,31376,0
2019-12-27 ,399,7767,22471,30875,0
2019-12-28 ,435,7523,22162,33181,0
2019-12-29 ,380,7347,21495,32513,0
2019-12-30 ,433,7712,22186,33652,0
2019-12-31 ,410,6191,18101,29638,0
2020-01-01 ,323,6547,19854,31970,0
2020-01-02 ,377,8670,24691,38593,0
2020-01-03 ,363,8309,23940,37076,0
2020-01-04 ,316,7246,21304,34420,0
2020-01-05 ,362,8008,23823,37394,0
2020-01-06 ,387,9584,26466,41232,0
2020-01-07 ,388,9294,26234,39819,0
2020-01-08 ,447,8771,23640,34629,6271
2020-01-09 ,381,8484,24517,43421,7634
2020-01-10 ,357,8083,22480,37242,7171
2020-01-11 ,373,7460,20954,34872,6420
2020-01-12 ,362,7905,23025,35516,6613
2020-01-13 ,397,9039,25165,35784,8240
2020-01-14 ,344,8504,24189,34972,7511
2020-01-15 ,343,8490,23911,33707,7262
2020-01-16 ,335,8411,23270,33030,7417
2020-01-17 ,335,8156,22152,32000,7182
2020-01-18 ,328,7891,20808,30296,6656
2020-01-19 ,358,8254,22251,31739,6823
2020-01-20 ,395,9608,25548,36176,8294
2020-01-21 ,633,9679,25061,36352,8616
2020-01-22 ,646,9553,24974,37404,8560
2020-01-23 ,675,8998,24252,34754,8266
2020-01-24 ,622,8556,22785,32574,7651
2020-01-25 ,672,7903,21850,30477,6997
2020-01-26 ,599,8080,22946,31510,7117
2020-01-27 ,662,9018,25331,35229,8498
2020-01-28 ,787,9589,26323,37822,8996
2020-01-29 ,731,9610,25686,36682,8430
2020-01-30 ,680,9413,25496,36642,8673
2020-01-31 ,637,8446,24127,34461,8005
2020-02-01 ,686,7793,22549,31737,7109
2020-02-02 ,667,7934,23372,32747,7229
2020-02-03 ,717,8588,24470,31838,7675
2020-02-04 ,698,9008,25502,36135,8479
2020-02-05 ,670,8492,24701,35134,8066
2020-02-06 ,626,8363,24269,35332,7949
2020-02-07 ,650,7954,22755,32151,7541
2020-02-08 ,532,7155,21180,29877,6521
2020-02-09 ,549,7435,21872,29917,6407
2020-02-10 ,659,8437,24157,34363,7803
2020-02-11 ,608,8610,24029,34755,8078
2020-02-12 ,604,7941,23191,31633,7090
2020-02-13 ,529,7625,21745,31536,7369
2020-02-14 ,531,6976,20788,29897,6883
2020-02-15 ,560,7358,20875,30902,6826
2020-02-16 ,574,7734,22116,30832,6830
2020-02-17 ,597,8559,24458,35248,8212
2020-02-18 ,557,8104,22955,33188,7676
2020-02-19 ,601,7951,23086,31205,8307
2020-02-20 ,573,7738,22634,28168,7582
2020-02-21 ,440,7503,21546,27848,7299
2020-02-22 ,442,7425,25452,27547,7046
2020-02-23 ,486,8454,27781,29849,7599
2020-02-24 ,507,9486,26305,32658,9315
2020-02-25 ,557,8976,25289,31829,8537
2020-02-26 ,542,8727,25702,31830,8279
2020-02-27 ,503,8873,25286,33117,8311