Date,Paid Booking,Booking Confirmed
2019-12-01,14,36
2019-12-02,10,41
2019-12-03,8,44
2019-12-04,14,46
2019-12-05,12,37
2019-12-06,13,40
2019-12-07,5,40
2019-12-08,9,41
2019-12-09,8,44
2019-12-10,10,48
2019-12-11,14,41
2019-12-12,10,33
2019-12-13,9,40
2019-12-14,15,54
2019-12-15,7,51
2019-12-16,11,40
2019-12-17,25,66
2019-12-18,13,48
2019-12-19,20,52
2019-12-20,13,49
2019-12-21,9,53
2019-12-22,9,52
2019-12-23,18,75
2019-12-24,7,52
2019-12-25,7,54
2019-12-26,11,55
2019-12-27,14,53
2019-12-28,9,63
2019-12-29,7,42
2019-12-30,10,41
2019-12-31,22,61
2020-01-01,12,55
2020-01-02,23,75
2020-01-03,26,69
2020-01-04,10,48
2020-01-05,4,47
2020-01-06,10,46
2020-01-07,25,74
2020-01-08,14,56
2020-01-09,15,37
2020-01-10,15,55
2020-01-11,7,42
2020-01-12,12,41
2020-01-13,8,45
2020-01-14,9,37
2020-01-15,16,39
2020-01-16,10,45
2020-01-17,19,53
2020-01-18,13,34
2020-01-19,10,42
2020-01-20,15,47
2020-01-21,9,48
2020-01-22,11,47
2020-01-23,10,43
2020-01-24,15,52
2020-01-25,18,59
2020-01-26,10,37
2020-01-27,17,51
2020-01-28,15,68
2020-01-29,11,56
2020-01-30,14,64
2020-01-31,15,61
2020-02-01,16,63
2020-02-02,16,61
2020-02-03,17,65
2020-02-04,15,64
2020-02-05,12,63
2020-02-06,12,47
2020-02-07,16,58
2020-02-08,7,48
2020-02-09,13,51
2020-02-10,9,58
2020-02-11,12,42
2020-02-12,14,54
2020-02-13,13,50
2020-02-14,14,67
2020-02-15,12,40
2020-02-16,15,63
2020-02-17,18,57
2020-02-18,13,52
2020-02-19,12,48
2020-02-20,14,55
2020-02-21,14,44
2020-02-22,12,47
2020-02-23,9,43
2020-02-24,14,46
2020-02-25,16,49
2020-02-26,21,66
2020-02-27,20,79
2020-02-28,22,67
2020-02-29,22,97
2020-03-01,15,68
2020-03-02,20,80
2020-03-03,24,86
2020-03-04,17,79
2020-03-05,16,65
2020-03-06,17,62
2020-03-07,7,63
2020-03-08,7,60
2020-03-09,17,67
2020-03-10,16,76
2020-03-11,17,65
2020-03-12,10,56
2020-03-13,14,74
2020-03-14,10,54
2020-03-15,12,63
2020-03-16,12,56
2020-03-17,10,62
2020-03-18,5,47
2020-03-19,9,75
2020-03-20,14,90
2020-03-21,14,83
2020-03-22,11,74
2020-03-23,14,88
2020-03-24,14,92