Date,CVR Detail to Booking,CVR Homepage to Booking,CVR Homepage to Search,CVR Homepage to Kost List,CVR Homepage to Kost Detail
2019-11-27 ,1.62,0,0,0,0
2019-11-28 ,1.7,0,0,0,0
2019-11-29 ,1.68,0,0,0,0
2019-11-30 ,1.85,0,0,0,0
2019-12-01 ,1.67,0,0,0,0
2019-12-02 ,1.59,0,0,0,0
2019-12-03 ,1.66,0,0,0,0
2019-12-04 ,1.56,0,0,0,0
2019-12-05 ,1.46,0,0,0,0
2019-12-06 ,1.71,0,0,0,0
2019-12-07 ,1.75,0,0,0,0
2019-12-08 ,1.41,0,0,0,0
2019-12-09 ,1.71,0,0,0,0
2019-12-10 ,1.41,0,0,0,0
2019-12-11 ,1.75,0,0,0,0
2019-12-12 ,1.37,0,0,0,0
2019-12-13 ,1.69,0,0,0,0
2019-12-14 ,1.8,0,0,0,0
2019-12-15 ,1.56,0,0,0,0
2019-12-16 ,1.61,0,0,0,0
2019-12-17 ,1.62,0,0,0,0
2019-12-18 ,1.47,0,0,0,0
2019-12-19 ,1.54,0,0,0,0
2019-12-20 ,1.46,0,0,0,0
2019-12-21 ,1.57,0,0,0,0
2019-12-22 ,1.77,0,0,0,0
2019-12-23 ,1.72,0,0,0,0
2019-12-24 ,1.81,0,0,0,0
2019-12-25 ,1.9,0,0,0,0
2019-12-26 ,1.64,0,0,0,0
2019-12-27 ,1.77,0,0,0,0
2019-12-28 ,1.95,0,0,0,0
2019-12-29 ,1.74,0,0,0,0
2019-12-30 ,1.95,0,0,0,0
2019-12-31 ,2.24,0,0,0,0
2020-01-01 ,1.62,0,0,0,0
2020-01-02 ,1.52,0,0,0,0
2020-01-03 ,1.52,0,0,0,0
2020-01-04 ,1.48,0,0,0,0
2020-01-05 ,1.49,0,0,0,0
2020-01-06 ,1.47,0,0,0,0
2020-01-07 ,1.46,0,0,0,0
2020-01-08 ,1.88,3.24,57.82,96.78,61.19
2020-01-09 ,1.55,2.44,57.11,96.96,62.33
2020-01-10 ,1.57,2.94,57.97,97.35,62.6
2020-01-11 ,1.77,3.16,58.04,97.48,63.1
2020-01-12 ,1.56,2.83,58.07,97.43,63.53
2020-01-13 ,1.56,2.85,58.14,97.35,63.33
2020-01-14 ,1.39,2.6,57.26,97.06,62.85
2020-01-15 ,1.42,2.7,57.38,97.03,62.27
2020-01-16 ,1.45,2.35,58.91,97.63,63.35
2020-01-17 ,1.52,2.72,57.8,97.13,62.91
2020-01-18 ,1.58,2.78,60.56,97.58,64
2020-01-19 ,1.61,3.17,60.4,98.11,65.07
2020-01-20 ,1.55,2.58,59.29,96.99,63.24
2020-01-21 ,2.51,3.37,59.12,97.11,63.5
2020-01-22 ,2.59,3.43,58.73,97.32,63.01
2020-01-23 ,2.76,3.92,57.6,97.37,62.63
2020-01-24 ,2.69,3.75,58.63,97.53,63.43
2020-01-25 ,3.02,3.56,59.27,97.41,63.41
2020-01-26 ,2.57,3.33,59.07,97.22,64.13
2020-01-27 ,2.58,3.05,58.04,97.27,63.3
2020-01-28 ,2.96,3.79,57.58,97.14,63.28
2020-01-29 ,2.8,3.89,58.93,97.37,64.23
2020-01-30 ,2.62,3.76,57.47,97.16,63.46
2020-01-31 ,2.62,3.92,56.63,97.01,63.01
2020-02-01 ,3.01,4.26,58.83,97.06,64.43
2020-02-02 ,2.85,3.69,58.53,97.11,64.35
2020-02-03 ,2.89,3.64,57.51,97.29,64.97
2020-02-04 ,2.71,3.59,58.18,96.98,63.56
2020-02-05 ,2.7,3.77,56.87,96.85,62.32
2020-02-06 ,2.53,3.57,57.13,97.03,62.39
2020-02-07 ,2.81,3.94,58.11,97.06,63.65
2020-02-08 ,2.47,3.13,58,97.42,63.55
2020-02-09 ,2.48,3.71,59.97,97.61,65.06
2020-02-10 ,2.69,3.51,58.55,97.33,64.2
2020-02-11 ,2.49,3.54,58.39,97.3,63.41
2020-02-12 ,2.55,3.71,56.83,97.43,62.43
2020-02-13 ,2.42,3.13,56.29,96.61,61.47
2020-02-14 ,2.53,3.24,55.92,96.64,61.47
2020-02-15 ,2.64,3.3,58.16,97.3,62.88
2020-02-16 ,2.58,3.34,59.88,97.44,64.83
2020-02-17 ,2.43,3.24,58.4,97.28,63.08
2020-02-18 ,2.39,3.39,58.94,97.34,63.97
2020-02-19 ,2.56,3.27,55.21,69.7,62.5
2020-02-20 ,2.52,3.26,56.63,69.94,63.47
2020-02-21 ,2.02,2.62,55.31,68.39,61.39
2020-02-22 ,1.72,2.77,56.59,68.98,62.43
2020-02-23 ,1.74,2.79,57.9,70.04,63.68
2020-02-24 ,1.92,2.46,55.59,68.5,61.59
2020-02-25 ,2.16,2.76,56.97,68.77,63.02
2020-02-26 ,2.1,2.57,54.79,66.99,61.18
2020-02-27 ,1.97,2.77,56.74,69.37,62.4
2020-02-28 ,2.14,2.84,54.3,67.29,60.48
2020-02-29 ,2.46,2.92,53.73,66.17,59.06
2020-03-01 ,2.31,2.39,54.25,67.42,59.78